\fixlen = T
|set|pl_orbper       |pl_bmassj|
|int|double          |double   |
 0   9.49090000       0.03000   
 0   433.80000000     1.96400   
 0   6022.97250000    6.79000   
 0   439.29999000     0.44000   
 0   17.04310000      0.07000   
 0   841.00000000     1.23000   
 0   157.57001000     1.61000   
 0   383.70001000     1.03000   
 0   70.46000000      0.25000   
 0   20.81330000      0.17000   
 0   4.11377000       0.41000   
 0   127.58000000     4.94000   
 0   122.10000000     0.05000   
 0   778.09998000     8.16000   
 0   6.49470000       0.96000   
 0   47.84000000      0.09000   
 0   4.55570000       0.62000   
 0   5.88810000       0.36700   
 0   55.80600000      0.16000   
 0   199.50500000     8.30000   
 0   1531.00000000    6.93000   
 0   1888.00000000    10.13000  
 0   3630.00000000    9.61000   
 0   48.05600000      0.21000   
 0   10.89850000      0.26100   
 0   1129.00000000    3.50000   
 0   437.70000000     2.41400   
 0   394.48123000     1.42000   
 0   1624.00000000    0.99000   
 0   68.27000000      0.86000   
 0   7.85430000       0.05400   
 0   30.93000000      0.07600   
 0   5.23989100       0.27000   
 0   835.47700000     11.09000  
 0   1143.00000000    7.14000   
 0   324.00000000     2.83000   
 0   663.20000000     0.36000   
 0   1818.00000000    0.93000   
 0   937.70001000     1.14000   
 0   4000.00000000    0.35700   
 0   83.91510000      10.69000  
 0   493.70000000     1.10000   
 0   1121.79000000    0.82500   
 0   670.00000000     1.40000   
 0   2621.75000000    1.92600   
 0   25.80000000      0.17400   
 0   6.13350000       2.79000   
 0   2082.00000000    4.50000   
 0   63.33000000      1.51000   
 0   557.04000000     3.10000   
 0   4.15514000       0.05500   
 0   2835.00000000    7.28000   
 0   9.67370000       0.02000   
 0   1244.00000000    0.41000   
 0   453.01900000     1.76900   
 0   921.53800000     3.78900   
 0   1840.00000000    1.60000   
 0   10.70871000      1.15000   
 0   896.00000000     1.80000   
 0   974.00000000     5.38000   
 0   1544.00000000    1.49000   
 0   1951.00000000    19.12000  
 0   258.17999000     1.61000   
 0   5000.00000000    0.82000   
 0   464.29999000     2.14000   
 0   1125.70000000    9.76000   
 0   330.00000000     0.20000   
 0   653.21997000     9.69000   
 0   1299.00000000    3.07000   
 0   386.29999000     1.67000   
 0   1039.15000000    3.53200   
 0   176.30000000     2.23000   
 0   1928.00000000    4.44000   
 0   103.95000000     6.02000   
 0   2730.00000000    2.28000   
 0   44.23600000      2.12000   
 0   1008.00000000    6.56000   
 0   528.40000000     1.21000   
 0   1027.00000000    0.85000   
 0   331.50000000     1.30000   
 0   2.87589000       0.38000   
 0   4.07182000       1.33000   
 0   5894.00000000    2.71000   
 0   2918.92000000    2.66100   
 0   686.50000000     1.86900   
 0   499.39999000     2.95000   
 0   3341.55884000    0.82000   
 0   163.94000000     5.37000   
 0   408.60001000     2.45000   
 0   3452.00000000    2.58000   
 0   194.30000000     0.99000   
 0   391.90000000     0.82000   
 0   131.05000000     9.88000   
 0   842.20000000     0.74000   
 0   4.64550000       0.01300   
 0   359.51001000     10.67000  
 0   521.00000000     1.53000   
 0   12.62000000      1.13000   
 0   248.40000000     1.90000   
 0   1184.10000000    2.21800   
 0   351.00000000     0.76800   
 0   643.25000000     1.67600   
 0   4205.80000000    1.81400   
 0   9.63860000       0.03321   
 0   310.55000000     0.52190   
 0   8.42820000       9.84000   
 0   75.22030000      0.78360   
 0   1272.00000000    2.20100   
 0   280.17000000     0.44300   
 0   1155.00000000    0.31000   
 0   641.47200000     1.99792   
 0   5144.00000000    3.53000   
 0   420.77000000     1.70000   
 0   58.11247000      7.65900   
 0   1749.83000000    17.19300  
 0   6.40400000       0.27000   
 0   225.62000000     2.88000   
 0   2102.00000000    4.04000   
 0   1145.00000000    0.66000   
 0   550.00000000     2.62000   
 0   1532.00000000    2.72000   
 0   323.60000000     2.70000   
 0   1290.00000000    8.97000   
 0   298.43000000     0.59800   
 0   410.10001000     1.69000   
 0   110.90000000     0.15000   
 0   71.48400000      8.03000   
 0   14.47900000      0.08100   
 0   3.09251400       0.91600   
 0   396.03000000     20.13000  
 0   510.90000000     1.68500   
 0   564.10000000     2.54000   
 0   9.37430000       0.02000   
 0   962.00000000     0.64000   
 0   2172.00000000    0.54000   
 0   956.00000000     0.40000   
 0   626.51599000     3.95000   
 0   3070.00000000    3.57000   
 0   6.83776000       1.01000   
 0   1019.74000000    0.83600   
 0   3.09658280       0.52300   
 0   3810.00000000    1.99000   
 0   461.20000000     1.50000   
 0   2.21857567       1.13000   
 0   2915.03687000    1.54000   
 0   17.11100000      0.06000   
 0   1176.45000000    1.98500   
 0   4885.00000000    3.10000   
 0   24.35560000      0.56000   
 0   74.72000000      0.05320   
 0   525.80000000     0.07600   
 0   340.94000000     2.09600   
 0   18.20132000      3.98000   
 0   1378.00000000    3.18000   
 0   3638.00000000    6.90000   
 0   1333.00000000    2.58000   
 0   1035.70000000    0.79000   
 0   606.30000000     1.59900   
 0   852.50000000     1.21400   
 0   1260.00000000    17.90000  
 0   1920.09998000    3.46000   
 0   1733.00000000    0.23000   
 0   279.80000000     1.37000   
 0   673.20000000     2.03600   
 0   160.07000000     0.56000   
 0   1155.70000000    0.73000   
 0   875.50000000     9.90000   
 0   130.08000000     0.52000   
 0   3.52474859       0.73000   
 0   442.19000000     1.29000   
 0   354.10000000     1.80800   
 0   380.70000000     2.39000   
 0   2.24571000       0.51000   
 0   882.70001000     5.58000   
 0   3.93404000       0.02000   
 0   567.94000000     0.33000   
 0   1311.00000000    1.26000   
 0   1334.28000000    2.22300   
 0   148.60001000     1.05000   
 0   118.45000000     0.57000   
 0   7.12682000       1.30000   
 0   4270.00000000    2.60000   
 0   1319.00000000    13.00000  
 0   225.70000000     0.20000   
 0   5501.00000000    10.39000  
 0   2093.30000000    1.00000   
 0   3.83492000       0.06600   
 0   672.09998000     16.64000  
 0   2266.40000000    1.11800   
 0   3724.70000000    1.45000   
 0   456.10000000     3.09000   
 0   3999.00000000    2.12000   
 0   572.38000000     8.37000   
 0   26.69040000      0.70000   
 0   141.63000000     1.13000   
 0   192.00000000     6.57500   
 0   501.75000000     5.21000   
 0   745.70001000     15.89000  
 0   2443.00000000    2.43000   
 0   8.78360000       0.02600   
 0   6.08810000       0.98000   
 0   3.38773000       0.48000   
 0   345.72000000     1.42000   
 0   9017.76000000    15.04000  
 0   57.43500000      0.36000   
 0   6.67389200       3.90000   
 0   147.74700000     1.31000   
 0   981.80000000     0.59000   
 0   41.38000000      0.30425   
 0   8.13520000       0.02000   
 0   32.03000000      0.40902   
 0   431.70000000     0.52670   
 0   124.60000000     9.18000   
 0   88.90000000      1.38000   
 0   2131.80000000    5.98000   
 0   17337.50000000   9.00000   
 0   511.09800000     8.82000   
 0   111.70000000     2.10000   
 0   5.05050000       1.09000   
 0   1058.80000000    20.00000  
 0   184.20000000     8.20000   
 0   9.12050000       0.04000   
 0   302.79999000     2.27000   
 0   170000.00000000  7.00000   
 0   69000.00000000   10.00000  
 0   37000.00000000   10.00000  
 0   1.21751400       27.23000  
 0   4.11379000       1.70000   
 0   2.70339000       1.94000   
 0   7.84570000       0.52000   
 0   2.47063000       1.49000   
 0   2.20474000       1.84000   
 0   4.88780244       0.07362   
 0   3.21346000       0.07700   
 0   3.54846570       2.11100   
 0   3.23469960       0.66800   
 0   4.88548920       0.44100   
 0   3.52249910       0.59000   
 0   19.23891000      0.13655   
 0   38.98530000      0.09408   
 0   0.83749100       0.01450   
 0   45.29430100      0.05400   
 0   10.30390000      0.00600   
 0   13.02410000      0.00900   
 0   22.68450000      0.02300   
 0   31.99960000      0.02500   
 0   46.68880000      0.00600   
 0   118.38070000     0.07900   
 0   4.43796290       0.43200   
 0   1.76358800       9.28000   
 0   6.79012300       8.40000   
 0   4.94278200       0.66000   
 0   228.77600000     0.33300   
 0   1.48571080       2.45000   
 0   3.50472500       0.02200   
 0   7.64159000       0.05400   
 0   14.85888000      0.05200   
 0   9.28716000       0.02643   
 0   28.73100000      0.04122   
 0   3.69611525       0.03052   
 0   10.85409089      0.04012   
 0   77.61130017      0.03168   
 0   2.78578000       0.01598   
 0   289.86230000     0.11300   
 0   7.10730000       0.80000   
 0   10.74210000      2.70000   
 0   8.14530000       1.60000   
 0   12.33350000      1.60000   
 0   6.23829700       0.02750   
 0   12.72070000      0.04790   
 0   122.40000000     0.22600   
 0   12.28000000      0.01611   
 0   17.25590000      0.01951   
 0   15.33480000      9.11000   
 0   31.33090000      13.80000  
 0   5.91230000       1.51000   
 0   8.98580000       1.36000   
 0   10.33840000      0.01419   
 0   13.28840000      0.01259   
 0   29.33434000      0.03600   
 0   60.32310500      2.01000   
 0   143.34394000     0.07300   
 0   42.63180000      4.70000   
 0   87.64510000      6.80000   
 0   5.90124000       4.10000   
 0   8.75220000       0.50000   
 0   288.82200000     0.22000   
 0   131.45800000     0.12700   
 0   13.83989000      0.01400   
 0   16.23855000      0.02500   
 0   13.36731000      0.01000   
 0   21.30200000      0.03776   
 0   39.79220000      0.03839   
 0   105.59900000     0.38400   
 0   21.08721000      20.10000  
 0   6.87349000       2.20000   
 0   1.85555820       0.56000   
 0   3.02409490       3.23000   
 0   3.24672930       1.00000   
 0   2.45523900       0.50500   
 0   33.60134000      6.00000   
 0   57.01100000      0.37600   
 0   49.46430000      0.00651   
 0   303.22700000     0.00997   
 0   4.77800000       0.01240   
 0   9.67395000       0.04597   
 0   42.89610000      0.02500   
 0   982.00000000     2.06700   
 0   7.20379450       0.98000   
 0   10.91293430      0.72000   
 0   45.15400000      0.00700   
 0   85.31200000      0.01300   
 0   130.19400000     0.02400   
 0   7.87735650       8.70000   
 0   16.38500210      10.41000  
 0   18.64895250      18.41000  
 0   38.55830380      15.74000  
 0   8.01094340       0.92000   
 0   12.07172490      0.37000   
 0   27.94814490      1.49000   
 0   42.15164180      1.11000   
 0   10.50160000      0.07000   
 0   21.40239000      0.57000   
 0   5.72931960       18.86000  
 0   11.60925670      6.95000   
 0   10.21849540      1.39000   
 0   15.57415680      2.19000   
 0   11.86817070      2.05000   
 0   17.98012350      1.37000   
 0   7.13340000       0.01318   
 0   8.91870000       0.01211   
 0   11.89810000      0.01309   
 0   5.71493200       0.03000   
 0   12.44170000      0.01300   
 0   18.16406000      0.04400   
 0   122.38740000     0.11300   
 0   267.29100000     0.11000   
 0   9.43415050       0.37800   
 0   138.31700000     0.53100   
 0   5.39880000       0.02407   
 0   9.60510000       0.00642   
 0   634.60000000     0.77000   
 0   0.24010400       0.00140   
 0   0.34288700       0.00210   
 0   7.34071100       0.63000   
 0   8.88491160       10.10000  
 0   1.54492980       2.01000   
 0   3.57878087       0.43000   
 0   0.35500744       0.01000   
 0   13.48450000      0.03430   
 0   27.40290000      0.01900   
 0   52.09020000      0.01900   
 0   81.06590000      0.01300   
 0   7.05246000       0.02180   
 0   9.52355000       0.02121   
 0   3.07222000       0.02124   
 0   4.64489000       0.01299   
 0   26.44000000      0.03823   
 0   51.54000000      0.04373   
 0   114.73635000     1.02000   
 0   191.23180000     0.02000   
 0   10.95416000      0.02700   
 0   22.33950000      0.62600   
 0   3.74320800       0.03300   
 0   10.42364800      0.04900   
 0   22.34298900      0.33400   
 0   54.32031000      0.11000   
 0   6.24658000       0.81000   
 0   13.74900000      0.20200   
 0   26.72300000      0.01900   
 0   4.72674000       0.01000   
 0   1460.00000000    3.00000   
 0   2.50806000       0.03400   
 0   820.30000000     9.83600   
 0   11.52310000      0.04100   
 0   16.23850000      0.02700   
 0   2.58664000       0.01100   
 0   789.00000000     1.08000   
 0   1.54168000       0.01100   
 0   4.60358000       0.01900   
 0   6.88705000       0.02300   
 0   12.81590000      0.02218   
 0   35.33310000      0.00944   
 0   3.48768120       0.16000   
 0   6.02976000       0.01000   
 0   5.28696000       0.01353   
 0   7.07142000       0.00944   
 0   10.31170000      0.01200   
 0   16.14570000      0.02800   
 0   27.45360000      0.01636   
 0   15.96540000      0.03100   
 0   179.61200000     0.11400   
 0   7.12620000       0.01447   
 0   6.16486000       0.01668   
 0   13.57080000      0.03300   
 0   23.98020000      0.02549   
 0   43.84450000      0.03500   
 0   3.18002180       0.01104   
 0   4.90145200       0.02954   
 0   7.95839000       0.01196   
 0   14.74914300      0.02706   
 0   6.48163000       0.02297   
 0   21.22270000      0.06859   
 0   4.75400000       0.03700   
 0   8.92507000       0.02737   
 0   8.04100000       0.00900   
 0   11.77600000      0.01200   
 0   18.79592280      0.09400   
 0   50.79039100      1.84000   
 0   56.26800000      0.11300   
 0   15.09000000      0.00242   
 0   22.80400000      0.00283   
 0   16.09200000      0.05100   
 0   25.51690000      0.02600   
 0   10.31260000      0.00021   
 0   13.78130000      0.00620   
 0   23.08810000      0.00201   
 0   22.95100000      0.11700   
 0   42.88200000      0.25000   
 0   36.85500000      0.00600   
 0   49.41200000      0.02400   
 0   7.38449000       0.02328   
 0   9.84564000       0.01605   
 0   14.78869000      0.02517   
 0   19.72567000      0.01510   
 0   23.65400000      0.53400   
 0   50.44700000      0.04200   
 0   31.88400000      0.05200   
 0   48.64800000      0.05100   
 0   17.32400000      0.27500   
 0   33.00600000      0.20200   
 0   35.73600000      0.15500   
 0   54.41400000      0.11800   
 0   24.80600000      0.19200   
 0   44.34700000      0.17700   
 0   34.54500000      0.02300   
 0   125.85180000     0.42000   
 0   66.06340000      0.01300   
 0   5.48700000       0.03300   
 0   8.29100000       0.01900   
 0   10.42080000      0.02341   
 0   13.07290000      0.01145   
 0   34.92100000      0.09000   
 0   71.31200000      0.12400   
 0   9.34100000       0.02700   
 0   17.84900000      0.01900   
 0   26.13600000      0.04700   
 0   42.99400000      0.23800   
 0   88.50500000      0.05600   
 0   2.42629000       0.02000   
 0   4.62332000       0.00900   
 0   0.66931000       0.01007   
 0   3000.00000000    12.60000  
 0   2.46502000       0.01573   
 0   68.95840000      0.06922   
 0   3.00515600       0.08055   
 0   1.72086040       0.94100   
 0   66.26200000      0.21100   
 0   4.70000000       0.01100   
 0   7.17100000       0.09400   
 0   4.17600000       0.37700   
 0   6.31900000       0.18300   
 0   12.33100000      0.03500   
 0   86.67856000      1.10000   
 0   69.75460000      2.50000   
 0   675.47000000     7.30000   
 0   86.64766100      1.45000   
 0   7.89144830       0.43000   
 0   2.68432850       0.59500   
 0   3.31186440       1.03000   
 0   223.30000000     6.97000   
 0   3.79701816       0.25000   
 0   3.21751883       0.34000   
 0   10.29099400      0.29000   
 0   3.52563254       1.27000   
 0   52.50112900      5.41000   
 0   406.20000000     2.43000   
 0   5.33408384       2.82000   
 0   12.87470990      2.86000   
 0   8.60015360       0.84000   
 0   7.79430132       1.37000   
 0   17.85518200      1.10000   
 0   3.91405000       0.81000   
 0   2774.00000000    0.03300   
 0   1982.00000000    2.56000   
 0   6.95900000       0.32000   
 0   5.11800000       0.40000   
 0   121.71000000     6.69000   
 0   3285.00000000    0.01700   
 0   1788.50000000    0.73000   
 0   4927.50000000    0.27000   
 0   2.48553350       4.50000   
 0   3.10127800       0.62000   
 0   1.21191890       1.39000   
 0   1.43247520       1.26000   
 0   1.68986800       1.18000   
 0   3.97910000       1.01000   
 0   3.67724000       1.03000   
 0   7300000.00000000 14.00000  
 0   3.16062960       2.31000   
 0   4.42640000       0.54000   
 0   2.14610000       1.88000   
 0   66.54190000      0.01353   
 0   98.21140000      0.01227   
 0   1.42002420       1.29400   
 0   1.33711647       2.49400   
 0   4.20000000       3.80000   
 0   1.79600000       9.70000   
 0   3.03007000       0.84000   
 0   1.30618581       1.91000   
 0   3.55395000       0.78000   
 0   1.48224686       1.79000   
 0   198.40000000     2.50000   
 0   559.30000000     10.00000  
 0   1170.00000000    3.20000   
 0   2.51994540       0.85400   
 0   2.15217500       0.93100   
 0   1.84683000       2.43000   
 0   1.33823147       1.18600   
 0   1.62842790       1.58000   
 0   3.36101000       0.37000   
 0   4.95464160       0.96000   
 0   8.15872000       2.54000   
 0   4323.00000000    9.45000   
 0   3.09276160       3.15000   
 0   3.72247000       0.79000   
 0   1.09142000       1.46500   
 0   4.35301000       0.36000   
 0   2.24375000       8.84000   
 0   3.75210000       0.54000   
 0   3.11860000       1.24000   
 0   3.73543000       0.78000   
 0   0.94124000       10.42954  
 0   0.78883899       1.06900   
 0   4.89962840       0.31100   
 0   4.32248200       0.30000   
 0   3.53269000       0.67000   
 0   2.94442560       0.88400   
 0   2.34121000       1.24000   
